City,Country,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,Population,Prev,Growth
Amman,Jordan,2.55,6.54,12.79,0.83,460.92,441.94,74.4,21.22,75.37,61.63,39.57,46.74,2148293.0,2108509.0,0.0189
Bangalore,India,0.72,3.02,4.83,0.91,362.03,422.37,77.92,38.67,69.38,80.94,52.11,51.03,12326532.0,11882666.0,0.0374
Budapest,Hungary,1.0,4.27,2.85,1.2,341.97,414.64,74.13,24.59,60.42,68.38,46.58,34.18,1768073.0,1763913.0,0.0024
Tehran,Iran,1.96,2.62,26.15,0.37,980.65,392.26,72.13,18.09,43.98,87.62,14.33,54.16,9134708.0,9013663.0,0.0134
Lima,Peru,1.65,3.79,6.27,1.03,784.52,392.26,73.19,23.22,53.7,58.49,22.67,65.31,10719188.0,10554712.0,0.0156
Bucharest,Romania,1.37,4.89,2.94,1.17,508.98,383.17,72.28,22.85,52.05,74.57,29.45,33.41,1803247.0,1812290.0,-0.005
Antalya,Turkey,1.81,3.26,5.44,1.62,217.45,362.42,71.91,22.91,59.55,30.55,40.51,44.53,1253872.0,1219140.0,0.0285
Pune,India,0.84,2.41,5.43,0.89,301.69,362.03,79.2,37.96,66.62,79.24,43.84,41.37,6629347.0,6451618.0,0.0275
Delhi,India,0.84,2.41,7.24,0.84,362.03,362.03,77.12,34.39,74.99,73.03,42.45,52.56,30290936.0,29399140.0,0.0303
Kiev,Ukraine,1.31,4.17,3.92,0.92,980.65,361.3,69.98,18.88,36.48,67.36,24.05,54.19,2988176.0,2973335.0,0.005
Belgrade,Serbia,1.1,2.98,3.02,1.17,426.24,359.9,71.65,21.46,52.53,77.08,35.69,37.97,1397939.0,1393717.0,0.003
Sofia,Bulgaria,0.87,3.93,3.06,1.11,349.35,353.72,71.97,23.03,51.43,26.63,37.72,48.26,1280968.0,1276937.0,0.0032
Lagos,Nigeria,2.62,6.54,7.85,0.4,1193.13,350.79,72.47,14.91,62.04,26.63,19.48,60.44,14368332.0,13903620.0,0.0334
Baku,Azerbaijan,2.53,5.48,7.59,0.51,1278.72,340.99,66.42,11.38,28.7,49.47,17.2,36.69,2341443.0,2313138.0,0.0122
Mumbai,India,0.84,3.02,6.03,0.89,603.39,337.9,77.13,28.83,58.41,70.49,26.43,34.63,20411274.0,20185064.0,0.0112
Jakarta,Indonesia,1.88,3.37,16.83,0.45,807.7,336.54,69.15,17.38,38.33,57.91,15.66,48.27,10770487.0,10638689.0,0.0124
Ulaanbaatar,Mongolia,1.75,3.27,6.54,0.78,1307.54,326.88,68.29,15.35,43.06,55.87,24.5,46.87,1584358.0,1552654.0,0.0204
Bogota,Colombia,1.25,4.27,7.48,0.8,426.95,326.88,70.6,14.52,73.89,14.54,29.33,46.02,10978360.0,10779376.0,0.0185
Nairobi,Kenya,1.36,3.92,7.21,0.94,632.15,323.49,71.12,15.82,61.34,39.16,14.36,71.88,4734881.0,4556381.0,0.0392
Vadodara,India,0.72,2.17,6.03,0.84,120.68,307.73,76.54,36.37,77.87,92.42,54.98,32.03,2189973.0,2149130.0,0.019
Porto Alegre,Brazil,1.14,5.2,4.71,0.89,487.69,306.89,70.46,19.07,51.01,86.16,31.87,76.46,4137417.0,4115354.0,0.0054
Ahmedabad,India,0.72,2.11,4.22,0.85,193.08,301.69,76.16,33.69,61.67,68.21,57.01,18.18,8059441.0,7868633.0,0.0242
Chennai,India,0.66,1.81,4.83,0.87,301.69,301.69,78.12,32.91,67.49,78.07,43.89,33.22,10971108.0,10711243.0,0.0243
